2026-02-16 13:06:31 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:31 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:31 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:31 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:31 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:31 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:31 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:32 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:32 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:32 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:32 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:32 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:32 | INFO | pipeline | Video ended. Restarting...
2026-02-16 13:06:32 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:32 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:32 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:32 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:32 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:32 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:32 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:32 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
2026-02-16 13:06:32 | ERROR | pipeline | Analysis error: name 'min_area' is not defined
